segment_row_idx,topic_id_matrix,topic_id_assumed,p_topic,topic_id,show,year,decade,topic_final,topic_name_final,model_text,topic_name,topic_rank
4,2,2,0.1166065070043308,2,Tato Cifuentes,1973,1970,2,2_chiste_programa_hoy hoy_chistes,"Les voy a hacer una invitación de un personaje o de algo que tenemos todos los seres humanos, porque mientras más años uno vive, más se da cuenta que todos los seres humanos somos exactamente iguales. Todos tenemos un chiquito, especialmente los hombres. Y mientras más años pasan, más chiquito, más inocente y más ingenuo. Por eso, cuando los abuelitos llegan a abuelitos, se ponen como niñitos chicos. Entonces, entonces yo voy a hacer la invitación de cada uno de ustedes, inclusive ustedes que están en su casa, cuando tenían 5 años. A esa edad, todos los niños son exactamente iguales. Tienen que decir un versito porque el papá, la abuela o la tía dice en la casa: ""Vaya, mi hijito, y diga un versito"". Y los deficientes tienen que aguantar al niñito. No hay más remedio. Así que a ustedes les ruego se imaginen que ahora soy un niñito de 5 años. Olvídense que soy un muchacho de 28 años porque el efecto, mucho mejor. 29. Bueno, la descendencia de todos los hogares, ustedes se van a acordar al tiro de esto. ""Mi hijo dice versito. Dígale un versito a la visita. Le encanta decir versito. Venga, mijito, diga"".",2_chiste_programa_hoy hoy_chistes,1
6,12,12,0.1283989323254374,12,Tato Cifuentes,1973,1970,9,9_auto_dijo dijo_micro_carabineros,"Necesito que me diga, se llama, ah, ahora que me olvidé mi acuerdo. Se llama el chanchito es. Pero bueno, no se ríen porque es muy triste, porque se trata de de la vida de un chanchito que una vez se miró en el espejo y vio que tenía cara de chancho. Y se asustó. Se asustó dijo, ""Uh."" Uh. Así dijo. Y tenía tenía pata de chancho, ojo de chancho, oreja de chancho, nariz, no, no tenía nariz, tenía un enchufe. Eh, y tenía Y tenía Tenía, tenía todo el puerco forrado en cuero de chancho. Y tenía la cabeza acá. Y eh Y entonces tenía la cabeza acá y Hay hay chancho grande y chancho grande, chancho chico. Pero son chancho igual. Este tenía la cabeza acá. La madre, la madre era una chancha. Era una chancha la madre. La madre era una chancha y el padre era un chancha. Ella sí enchanchada. Ahora viene el versito. Pero no, se ríen porque es muy triste, vida, pasión y muerte del chanchito. el chancito. Ahora voy a decir otro verso que también es muy lindo. Muchísimas gracias. Me salió un gallito.",12_perro_perrito_selva_lobo,1
7,1,1,0.1193024792831918,1,Tato Cifuentes,1973,1970,1,1_canción_almas_cantar_vivo vivo,"Bueno, y ese es Tatín, ese personaje que considero que todos tenemos un Tatín adentro y eso es cierto. Después vamos a tener mucho tiempo, creo que si me aguantan 4 días acá, voy a tener mucho gusto en seguir actuando con Tatín. Ahora, como ustedes me han visto salir con la guitarra, posiblemente han pensado este ñato va a tocar la guitarra. Ojalá supiera. Pasa que esta guitarra es mía y como es mía yo la llevo donde quiero, pero no sé tocar la guitarra. La compré porque está de moda. Y cuando una cosa se pone de moda todo el mundo lo compra. No se vendían guitarras, entonces pusieron avisos por todos lados. Última moda tener guitarra. Suficiente, al poner última moda tener guitarra, ahí partieron todos los imbéciles a comprarse guitarra. Yo me compré ocho. Y con la guitarra viajando, viajando, viajando se me ocurrió hacer una cosa distinta, o sea, un dúo de uno. Porque todos los dúos son de a dos. Siempre. Entonces no va por ahí, el dúo fulano y fulano. ¿Y por qué tiene que ser de dos? No puede ser un dúo de a uno. Claro que sí. Ustedes pensarán que yo estoy loco, ¿no? Yo no estoy loco, soy loco. Este es uno de los instrumentos. Este es el otro. Este no lo van a ver ustedes en televisión, posiblemente sí. Es es el instrumento más chico que se ha inventado. Es un una armónica alemana de apenas cuatro ollitos. Y suena bastante, se pueden tocar muchas canciones. Parece fácil, ¿no? No es tan fácil. Yo para prenderme esta tonada que les voy a tocar, me he tragado 140 de esta. Y no sería nada tragársela. No se consiguen. Son alemanas, ya no fabrican más. Pero en fin, bueno, trataré de de ya que es la última que me queda. Además, molesto hacer la digestión con música.",1_canción_almas_cantar_vivo vivo,1
12,8,8,1.0,8,Los Acetatos,1973,1970,8,8_anthony_amas_your_you,"Alone, why must I be alone? I spent so many hours with you. How can I be alone? I think, I think I dream alone. I think we were made for us to share and I dream alone. There's such a thing as forgiving, so why can't you forgive? There's such a thing as forgiving, can't you forgive? There's such a thing as forgiving, can't you forgive? Forgive and forget. Of course. Why not we be here apart? Let's pull on together and never be alone. There's such a thing as forgiving. So why can't you forgive? There's such a thing as forgetting. Can't you forgive and forget? Oh God. Why must we be apart? But we are together and never be apart. La la la la la, la la la la la.",8_anthony_amas_your_you,1
13,1,1,0.1897558866900503,1,Los Acetatos,1973,1970,1,1_canción_almas_cantar_vivo vivo,"Y cumpliendo numerosas peticiones, ahora le voy a cantar un bolero, ""Dos almas"". Dame todo, Nubo. Ajá. Dos almas que unidas yo... Dos almas que se amaban. Eso era. Por la sangre de este inmenso amor nos lavamos la vida. Como amamos de, de, de, de, de. Un día en el camino, que gustaban nuestras almas... Surgió una onda de odio que nos deja rodadón. Y decía que mejor fuera morir ni se cañare podemos ya vivir.",1_canción_almas_cantar_vivo vivo,1
14,1,1,0.3858419301203263,1,Los Acetatos,1973,1970,1,1_canción_almas_cantar_vivo vivo,"¿Qué? ¿Qué fue? ¿Qué pasó? ¿Qué? ¿Qué fue? ¿Qué pasó? Ah, ¿me toca a mí? Ya va, pues. Y un día en el camino que cruzaba nuestra alma, tuyo una canción yo, yo que no sé. Y decía que podemos ya, podemos ya.",1_canción_almas_cantar_vivo vivo,1
16,12,12,0.2817654501034597,12,Los Acetatos,1973,1970,12,12_perro_perrito_selva_lobo,"y como se escapa el agua entre los dedos. Así te dejé ir sin meditar. Éxito mundial, el fenómeno Rafael.",12_perro_perrito_selva_lobo,1
17,8,8,0.2573501091762482,8,Los Acetatos,1973,1970,8,8_anthony_amas_your_you,"No. No supliques tanto, por favor. Déjame tranquilo que es mejor, pues no quiero ni saber de tu amor. Sí, sigue hablando así por caridad. Dime que me quieres por piedad. Que me llegue yo a creer que es verdad. Eres tú todo el mundo para mí. Nadie te ha querido como yo. Siga hablando así y seré feliz y seré feliz. Sí, sí, sí. No. Sí, sí, sí. No.",8_anthony_amas_your_you,1
25,1,1,0.1530671267551478,1,Los Acetatos,1973,1970,1,1_canción_almas_cantar_vivo vivo,"Otra. ¿Sí? Pues ya lo ven, vuelven solos, ¿ah? Ustedes seguramente habrán escuchado ""Concierto para una sola voz"", pero nunca en la versión de esta voz única en el mundo. Para todos, ""Concierto para una sola voz"".",1_canción_almas_cantar_vivo vivo,1
26,12,12,1.0,12,Los Acetatos,1973,1970,12,12_perro_perrito_selva_lobo,"A tomar. A tomar, tomar, tomar, tomar, tomar. Se me puso el pantalón. Va. No corras. Va, va. Tres por cuatro. Dos y me llevo una, va.",12_perro_perrito_selva_lobo,1
27,10,10,0.2148372459759646,10,Los Acetatos,1973,1970,10,10_maestro_hora hora_ruperto_hora,"Ahora voy a llegar a la... porque hace, hace falta facultades de Ciencia, de Medicina, de garganta hipogresiva, como voy a hacer yo ahora, verás tú. Por gusto, escucha, me voy a salir del arreglo, no vale para esto, ya verás. Garganta arriba, garganta arriba. ¿Pecho ya? Es que estoy agachado o qué, ¿verdad? ¿Qué te crees, que estoy en la mini? ¿Pecho fuera? Es pobrecita. Por, por, por...",10_maestro_hora hora_ruperto_hora,1
29,3,3,0.4400836781948841,3,Los Acetatos,1973,1970,3,3_humor_quinta_quinta vergara_vergara,"Bueno, podríamos seguir riendo durante largo rato con Los Acetatos, la revelación artística tal como lo dijo César Antonio Santis en su presentación de este Décimo Cuarto Festival de la Canción de Viña del Mar. En otra oportunidad voy a tener mucho agrado en invitarles de nuevo a reír con estos grandes artistas chilenos. Hasta pronto, hasta otra oportunidad con aquellos que cantaron en Viña un día.",3_humor_quinta_quinta vergara_vergara,1
32,3,3,0.2950405387510038,3,Tato Cifuentes,1974,1970,3,3_humor_quinta_quinta vergara_vergara,"Hola, amigos de nuestro canal histórico, ¿cómo están? Les quiero contar que en esta oportunidad haremos un pequeño homenaje a un gran artista que empezó el escenario de La Quinta Vergara en 1974. Hablo de un gran humorista chileno que hace poquitos días, lamentablemente, nos dejó, falleció en el país trasandino hace sus 91 años. Hablo de Tato Cifuentes. Aquí les vamos a dejar una pequeña fracción de su presentación en 1974 en el Festival de la Canción de Viña del Mar. Aprovechamos como canal histórico, por supuesto, de enviar darle un saludo muy cariñoso a todos sus familiares, a todos sus seguidores y por supuesto que comenten este video aquí abajito, Datos y Fuentes 1974 en Viña del Mar. El niñito de 5 años y el papá mayor que el hijo van de camino, caminando, de paseo, mirando viñedos, etcétera y de repente pasa lo inesperado. Por la vereda del frente una señora casada bien casada por las apariencias. Y el mocoso nunca había visto una señora así tan casada y le llama poderosamente la atención. ¿A quién le va a preguntar si no es a su papito? Y ahí empieza el problema del padre y no le dice lo que corresponde. Papacito. Papacito. ¿Qué le pasa, el gordito? Papacito. Mire, la señora que va con mirando por ahí. ¿Qué tiene? Sí tiene. Digo, ¿qué tiene de particular? Una señora que va caminando. Sí, va caminando, pero pero pero Pero por ¿Por qué va caminando así tan hecha para atrás? Algún defecto que tiene la señora en los zapatos. No, no es los zapatos. El más arriba.",3_humor_quinta_quinta vergara_vergara,1
35,19,19,0.1056782317210055,19,Hugo Goodman,1974,1970,17,17_natalia_chiqui_alison_javiera,"Su trabajo en cine en Estados Unidos y en México le ha valido ser, hoy día, la figura extranjera más importante dentro de su género artístico en esos países. Europa y Norte América le aplauden hoy día. Esta es la primera vez que tenemos la oportunidad de recibir en este escenario —y desde hace muchos años— la primera vez que él tiene la posibilidad de estar en contacto con el público chileno. Estoy seguro que conoceremos esta noche una manera diferente",19_través_mar_viña_viña mar,1
35,3,3,0.1009303518137464,3,Hugo Goodman,1974,1970,17,17_natalia_chiqui_alison_javiera,"Su trabajo en cine en Estados Unidos y en México le ha valido ser, hoy día, la figura extranjera más importante dentro de su género artístico en esos países. Europa y Norte América le aplauden hoy día. Esta es la primera vez que tenemos la oportunidad de recibir en este escenario —y desde hace muchos años— la primera vez que él tiene la posibilidad de estar en contacto con el público chileno. Estoy seguro que conoceremos esta noche una manera diferente",3_humor_quinta_quinta vergara_vergara,2
37,2,2,1.0,2,Hugo Goodman,1974,1970,2,2_chiste_programa_hoy hoy_chistes,"Bueno, este para tantear el público, probando. Perfecto. Mi mejor imitación: una imitación a un Aziz. Vamos a proseguir haciendo ahora una... este... Ya los tanteé, ya veo que están con ganas de divertirse. Vamos a ir sacándonos la ropa. No.",2_chiste_programa_hoy hoy_chistes,1
40,11,11,0.128613682953268,11,Hugo Goodman,1974,1970,11,11_hijos_mamá_papá_hijo,"Que he llegado aquí a mi patria, yo aquí tengo mi hijo, mi hijo tiene 5 años, lo fui a visitar, le digo, ""A ver, Huguito, dime una mentira, papá."" Ay, estos niños son tremendos, son increíbles, lamentablemente los niños, qué simpáticos son los niños, pero crecen, crecen, crecen, crecen, mire, ese señor sin pelo que está ahí. Ese señor fue niño, miren qué monstruos ahora. No, no, no, a los niños hay que cuidarlos, sobre todo cuando tienen 13 o 14 años, esa la edad peligrosa. El otro día fue un niñito y le dice su papá, ""Papá, tengo que hablar contigo porque sé que eres un hombre moderno, me vas a comprender. ¿Qué pasa, hijo mío? Papá, acabo de tener mi primera experiencia sexual."" Hombre, qué alegría, mi único hijo, hombre. Cuéntame eso, siéntate y cuéntamelo. No me puedo sentar, papá. Ah. Con razón después crecen y le dicen Volkswagen. Tiene el motor atrás. Bueno, este les quería decir les quería decir, hoy estaba leyendo el periódico, estaba",11_hijos_mamá_papá_hijo,1
43,1,1,0.1418052304664991,1,Hugo Goodman,1974,1970,1,1_canción_almas_cantar_vivo vivo,"Manolo González... se sentía esa música. Muy bien, muchachos, me acompañaron muy bien. Se están portando a la altura a los Países Bajos. La orquesta de Víctor Hugo y sus miserables. Eliot Ness y los intocables. No toca ninguno. No, son grandes amigos, grandes compañeros; uno de ellos es hombre... ah, no vino. Bueno, entonces, como les iba diciendo, yo esta noche quiero, quiero mostrarles a ustedes",1_canción_almas_cantar_vivo vivo,1
46,20,20,0.1223652575668707,20,Hugo Goodman,1974,1970,20,20_hermana_fea_curado_marihuana,"El otro día estaba tan borracho en una esquina, estaba cocido. Diciéndole piropos a todas las mujeres que pasaban. Pasó una monjita. El borracho, ¿cómo está? Le dice la monja, ""Adiós, mi vida. Me quiero casar contigo."" La monja se ofende y le dice insolente, ""Maleducado, ¿qué no está viendo que yo soy hermana de Dios? Chita, manso cuñazo que me voy a gastar.""",20_hermana_fea_curado_marihuana,1
48,4,4,0.3582625540388792,4,Hugo Goodman,1974,1970,4,4_chileno_chile_argentino_chilenos,"de nuevo a la China por el asunto de Water Club, digo de Watergate. Estando el sujeto de marras, o sea, Richard Nixon, una aciaga noche allá en la China comunista se puso a conversar con el intérprete chino. Porque vamos a ser sinceros: cuando nosotros viajamos a un país en que hablamos otro idioma, lo primero que aprendemos son las palabrotas, las groserías. Entonces, Nixon es humano, incluso eso, va al baño. Nixon le pregunta al intérprete, le dice: ""Ay, quiero aprender cómo se dice en chino... hace años que quiero saber cómo se dice en chino 'hijo'"". ""Se dice 'pam'"". ""¿Y dos hijos de?"". ""Pam-pam"". ""¿Y muchos?"". ""Pam-pam-pam, pom-pom-pam-pam-pam"". Bueno. Este, ¡qué raros son los chinos, ¿no?! Los chinos tienen los ojos",4_chileno_chile_argentino_chilenos,1
49,12,12,0.2028186692850163,12,Hugo Goodman,1974,1970,12,12_perro_perrito_selva_lobo,"así. Es porque comen mucho arroz. El arroz, que contiene almidón. Entonces, cuando van al baño, hacen... Es que los ojos... los ojos son muy importantes. Fíjese cuando lloramos. ¿Qué sucede cuando lloramos? Las lágrimas caen hacia abajo. ¿Por qué? Porque los ojos tenemos niña. Si tuviéramos niño, lloraríamos así.",12_perro_perrito_selva_lobo,1
51,8,8,1.0,8,Hugo Goodman,1974,1970,8,8_anthony_amas_your_you,"Yo soy aquel que cada noche te persigue. Yo soy aquel que por quererte ya no vive. El que te espera, el que te sueña, el que quisiera ser dueño de tu amor, de tu amor. Yo soy aquel que por tenerte da la vida. Yo soy aquel que estando lejos no te olvidan. El que te espera, el que te espera. Aquel que reza cada noche por tu amor y estoy aquí, aquí para quererte. Estoy aquí, aquí para adorarte. Yo estoy aquí aquí para decirte que como yo nadie te amó. Yo soy aquel que por tenerte en la vida y yo soy la fe que estando lejos no te vida. Él que te bendiga. Él que te bendiga. Aquel que reza cada noche por tu amor. Y estoy aquí aquí para quererte. Estoy aquí aquí para adorarte. Yo estoy aquí aquí para decirte: ""Amor, amor, amor, amor, amor, amor..."".",8_anthony_amas_your_you,1
55,12,12,0.1089488820569027,12,Los Muleros,1976,1970,12,12_perro_perrito_selva_lobo,"Dije: «Chao». Dije: «Chao, pero chao, chao, chao». Dije: «Chao, pero chao, chao, chao». Dije: «Chao, pero chao, chao, chao». Dije: «Chao». Quedé instalado en un corredor; dice que es lo mejor, está cerca del baño y no hace calor.",12_perro_perrito_selva_lobo,1
58,3,3,0.3721180560903396,3,Los Muleros,1976,1970,3,3_humor_quinta_quinta vergara_vergara,Los Moleros en Viña del Mar. Amigos de la Quinta Vergara: esta noche hay una gran sorpresa para todos vosotros y también para ellos.,3_humor_quinta_quinta vergara_vergara,1
