segment_row_idx,topic_id_matrix,topic_id_assumed,p_topic,topic_id,show,year,decade,topic_final,topic_name_final,model_text,topic_name,topic_rank
0,19,19,0.0931800643418342,19,Edmundo Arrocet,1971,1970,3,3_humor_quinta_quinta vergara_vergara,"Por favor, oraciosos a ella. De inmediato, a continuación, vamos a presentar con ustedes este gran artista con su gran director de orquesta que se hace presente aquí en el Festival de Viña del Mar para dejar de inmediato al italiano Nicola Dibari.",19_través_mar_viña_viña mar,1
0,17,17,0.0748980451954098,17,Edmundo Arrocet,1971,1970,3,3_humor_quinta_quinta vergara_vergara,"Por favor, oraciosos a ella. De inmediato, a continuación, vamos a presentar con ustedes este gran artista con su gran director de orquesta que se hace presente aquí en el Festival de Viña del Mar para dejar de inmediato al italiano Nicola Dibari.",17_natalia_chiqui_alison_javiera,2
0,6,6,0.0694267571967622,6,Edmundo Arrocet,1971,1970,3,3_humor_quinta_quinta vergara_vergara,"Por favor, oraciosos a ella. De inmediato, a continuación, vamos a presentar con ustedes este gran artista con su gran director de orquesta que se hace presente aquí en el Festival de Viña del Mar para dejar de inmediato al italiano Nicola Dibari.",6_quinta_vergara_público_quinta vergara,3
0,14,14,0.0667880861297533,14,Edmundo Arrocet,1971,1970,3,3_humor_quinta_quinta vergara_vergara,"Por favor, oraciosos a ella. De inmediato, a continuación, vamos a presentar con ustedes este gran artista con su gran director de orquesta que se hace presente aquí en el Festival de Viña del Mar para dejar de inmediato al italiano Nicola Dibari.",14_ho_ho ho_aplauso_muchas,4
0,22,22,0.0632881759554396,22,Edmundo Arrocet,1971,1970,3,3_humor_quinta_quinta vergara_vergara,"Por favor, oraciosos a ella. De inmediato, a continuación, vamos a presentar con ustedes este gran artista con su gran director de orquesta que se hace presente aquí en el Festival de Viña del Mar para dejar de inmediato al italiano Nicola Dibari.",22_verdad_agradecer_emocionado_quiero agradecer,5
0,3,3,0.0587887149623005,3,Edmundo Arrocet,1971,1970,3,3_humor_quinta_quinta vergara_vergara,"Por favor, oraciosos a ella. De inmediato, a continuación, vamos a presentar con ustedes este gran artista con su gran director de orquesta que se hace presente aquí en el Festival de Viña del Mar para dejar de inmediato al italiano Nicola Dibari.",3_humor_quinta_quinta vergara_vergara,6
1,1,1,0.0716085566134762,1,Edmundo Arrocet,1971,1970,8,8_anthony_amas_your_you,"Señora, señora, andiamo a interpretar una canzonata. ¿A chi si chiama la canzone? ¿Come si chiama, bambino? ""Il trotamondo"". Allora, cavalieri, aspettiamo... Que camina sin cesar. No, que le gusta de la vida es el amor que nada más. Si rodando el mundo puedo hallar una que piense como yo o que le gusta de la vida es el amor y nada más. Y día tras día la espero yo.",1_canción_almas_cantar_vivo vivo,1
1,13,13,0.0619737974664882,13,Edmundo Arrocet,1971,1970,8,8_anthony_amas_your_you,"Señora, señora, andiamo a interpretar una canzonata. ¿A chi si chiama la canzone? ¿Come si chiama, bambino? ""Il trotamondo"". Allora, cavalieri, aspettiamo... Que camina sin cesar. No, que le gusta de la vida es el amor que nada más. Si rodando el mundo puedo hallar una que piense como yo o que le gusta de la vida es el amor y nada más. Y día tras día la espero yo.",13_ay ay_salta salta_salta_ay,2
2,8,8,0.0964685219485031,8,Edmundo Arrocet,1971,1970,8,8_anthony_amas_your_you,"Y paso tras paso, yo la buscaré y la encontraré, la encontraré, la encontraré. Contra todo el mundo como yo, que camina sin cesar, lo que le gusta de la vida es el amor que nada más. Es el amor y nada más.",8_anthony_amas_your_you,1
3,3,3,0.0831005536930779,3,Tato Cifuentes,1973,1970,3,3_humor_quinta_quinta vergara_vergara,"Sus cualidades artísticas. Le conocimos hace muchos años con un personaje muy querido por todos los niños de esa época: Copucha, el colegial. Estuvo como invitado especial en el show internacional. Su nombre: Tato Cifuentes. Muy buenas noches, señoras, señores. En realidad, es un tremendo placer volver a estar en mi patria y tratar de divertirles por intermedio de mis personajes y de algunas cositas que deseo que sean de vuestro agrado. En primer lugar, le",3_humor_quinta_quinta vergara_vergara,1
3,17,17,0.062120887093893,17,Tato Cifuentes,1973,1970,3,3_humor_quinta_quinta vergara_vergara,"Sus cualidades artísticas. Le conocimos hace muchos años con un personaje muy querido por todos los niños de esa época: Copucha, el colegial. Estuvo como invitado especial en el show internacional. Su nombre: Tato Cifuentes. Muy buenas noches, señoras, señores. En realidad, es un tremendo placer volver a estar en mi patria y tratar de divertirles por intermedio de mis personajes y de algunas cositas que deseo que sean de vuestro agrado. En primer lugar, le",17_natalia_chiqui_alison_javiera,2
3,19,19,0.0569982733073948,19,Tato Cifuentes,1973,1970,3,3_humor_quinta_quinta vergara_vergara,"Sus cualidades artísticas. Le conocimos hace muchos años con un personaje muy querido por todos los niños de esa época: Copucha, el colegial. Estuvo como invitado especial en el show internacional. Su nombre: Tato Cifuentes. Muy buenas noches, señoras, señores. En realidad, es un tremendo placer volver a estar en mi patria y tratar de divertirles por intermedio de mis personajes y de algunas cositas que deseo que sean de vuestro agrado. En primer lugar, le",19_través_mar_viña_viña mar,3
4,2,2,0.1166065070043308,2,Tato Cifuentes,1973,1970,2,2_chiste_programa_hoy hoy_chistes,"Les voy a hacer una invitación de un personaje o de algo que tenemos todos los seres humanos, porque mientras más años uno vive, más se da cuenta que todos los seres humanos somos exactamente iguales. Todos tenemos un chiquito, especialmente los hombres. Y mientras más años pasan, más chiquito, más inocente y más ingenuo. Por eso, cuando los abuelitos llegan a abuelitos, se ponen como niñitos chicos. Entonces, entonces yo voy a hacer la invitación de cada uno de ustedes, inclusive ustedes que están en su casa, cuando tenían 5 años. A esa edad, todos los niños son exactamente iguales. Tienen que decir un versito porque el papá, la abuela o la tía dice en la casa: ""Vaya, mi hijito, y diga un versito"". Y los deficientes tienen que aguantar al niñito. No hay más remedio. Así que a ustedes les ruego se imaginen que ahora soy un niñito de 5 años. Olvídense que soy un muchacho de 28 años porque el efecto, mucho mejor. 29. Bueno, la descendencia de todos los hogares, ustedes se van a acordar al tiro de esto. ""Mi hijo dice versito. Dígale un versito a la visita. Le encanta decir versito. Venga, mijito, diga"".",2_chiste_programa_hoy hoy_chistes,1
4,10,10,0.0737343023626591,10,Tato Cifuentes,1973,1970,2,2_chiste_programa_hoy hoy_chistes,"Les voy a hacer una invitación de un personaje o de algo que tenemos todos los seres humanos, porque mientras más años uno vive, más se da cuenta que todos los seres humanos somos exactamente iguales. Todos tenemos un chiquito, especialmente los hombres. Y mientras más años pasan, más chiquito, más inocente y más ingenuo. Por eso, cuando los abuelitos llegan a abuelitos, se ponen como niñitos chicos. Entonces, entonces yo voy a hacer la invitación de cada uno de ustedes, inclusive ustedes que están en su casa, cuando tenían 5 años. A esa edad, todos los niños son exactamente iguales. Tienen que decir un versito porque el papá, la abuela o la tía dice en la casa: ""Vaya, mi hijito, y diga un versito"". Y los deficientes tienen que aguantar al niñito. No hay más remedio. Así que a ustedes les ruego se imaginen que ahora soy un niñito de 5 años. Olvídense que soy un muchacho de 28 años porque el efecto, mucho mejor. 29. Bueno, la descendencia de todos los hogares, ustedes se van a acordar al tiro de esto. ""Mi hijo dice versito. Dígale un versito a la visita. Le encanta decir versito. Venga, mijito, diga"".",10_maestro_hora hora_ruperto_hora,2
5,1,1,0.0536052183885569,1,Tato Cifuentes,1973,1970,2,2_chiste_programa_hoy hoy_chistes,"Buenas tardes. Voy, voy, voy a decir un versito porque, porque, porque sí. Yo siempre, siempre digo versito porque salgo mucho versito... todo esto: 8, 14, 5, 4, 3... Voy a decir un besito. ¿Qué se llama? ¿Cómo se llama? No te, no te... No sabe, no sabe, no sabe, no sabe, no sabe, no... Este...",1_canción_almas_cantar_vivo vivo,1
6,12,12,0.1283989323254374,12,Tato Cifuentes,1973,1970,9,9_auto_dijo dijo_micro_carabineros,"Necesito que me diga, se llama, ah, ahora que me olvidé mi acuerdo. Se llama el chanchito es. Pero bueno, no se ríen porque es muy triste, porque se trata de de la vida de un chanchito que una vez se miró en el espejo y vio que tenía cara de chancho. Y se asustó. Se asustó dijo, ""Uh."" Uh. Así dijo. Y tenía tenía pata de chancho, ojo de chancho, oreja de chancho, nariz, no, no tenía nariz, tenía un enchufe. Eh, y tenía Y tenía Tenía, tenía todo el puerco forrado en cuero de chancho. Y tenía la cabeza acá. Y eh Y entonces tenía la cabeza acá y Hay hay chancho grande y chancho grande, chancho chico. Pero son chancho igual. Este tenía la cabeza acá. La madre, la madre era una chancha. Era una chancha la madre. La madre era una chancha y el padre era un chancha. Ella sí enchanchada. Ahora viene el versito. Pero no, se ríen porque es muy triste, vida, pasión y muerte del chanchito. el chancito. Ahora voy a decir otro verso que también es muy lindo. Muchísimas gracias. Me salió un gallito.",12_perro_perrito_selva_lobo,1
7,1,1,0.1193024792831918,1,Tato Cifuentes,1973,1970,1,1_canción_almas_cantar_vivo vivo,"Bueno, y ese es Tatín, ese personaje que considero que todos tenemos un Tatín adentro y eso es cierto. Después vamos a tener mucho tiempo, creo que si me aguantan 4 días acá, voy a tener mucho gusto en seguir actuando con Tatín. Ahora, como ustedes me han visto salir con la guitarra, posiblemente han pensado este ñato va a tocar la guitarra. Ojalá supiera. Pasa que esta guitarra es mía y como es mía yo la llevo donde quiero, pero no sé tocar la guitarra. La compré porque está de moda. Y cuando una cosa se pone de moda todo el mundo lo compra. No se vendían guitarras, entonces pusieron avisos por todos lados. Última moda tener guitarra. Suficiente, al poner última moda tener guitarra, ahí partieron todos los imbéciles a comprarse guitarra. Yo me compré ocho. Y con la guitarra viajando, viajando, viajando se me ocurrió hacer una cosa distinta, o sea, un dúo de uno. Porque todos los dúos son de a dos. Siempre. Entonces no va por ahí, el dúo fulano y fulano. ¿Y por qué tiene que ser de dos? No puede ser un dúo de a uno. Claro que sí. Ustedes pensarán que yo estoy loco, ¿no? Yo no estoy loco, soy loco. Este es uno de los instrumentos. Este es el otro. Este no lo van a ver ustedes en televisión, posiblemente sí. Es es el instrumento más chico que se ha inventado. Es un una armónica alemana de apenas cuatro ollitos. Y suena bastante, se pueden tocar muchas canciones. Parece fácil, ¿no? No es tan fácil. Yo para prenderme esta tonada que les voy a tocar, me he tragado 140 de esta. Y no sería nada tragársela. No se consiguen. Son alemanas, ya no fabrican más. Pero en fin, bueno, trataré de de ya que es la última que me queda. Además, molesto hacer la digestión con música.",1_canción_almas_cantar_vivo vivo,1
10,0,0,0.098972624789956,0,Tato Cifuentes,1973,1970,0,0_presidente_país_huevón_pesos,"Todos ayudan al desarrollo de Chile. Y cuando usted ayuda a su suerte, también está ayudando a Chile. En educación, salud y deporte. Ayude usted también; compre Polla.",0_presidente_país_huevón_pesos,1
