segment_row_idx,n_topics_above_threshold,probability_mass_above_threshold,top1_topic_id,top1_topic_name,top1_p_topic,top2_topic_id,top2_topic_name,top2_p_topic,show,year,decade,topic_final,topic_name_final,text_preview,topic_prob_gap_top1_top2
3252,3,0.3937464554188459,23,23_amante_marido_mujer_matrimonio,0.1559601704975108,15.0,15_hombres_mujeres_mujer_hombre,0.1545035990279971,Jenny Cavallo,2018,2010,15,15_hombres_mujeres_mujer_hombre,"Una dice eso siempre, porque en general no existe la mujer que diga como: «Está muy bien, mi amor, está muy bien lo que hiciste, porque si no hubieras hecho eso",0.0014565714695136955
2302,3,0.393243101764778,15,15_hombres_mujeres_mujer_hombre,0.1511519129090132,23.0,23_amante_marido_mujer_matrimonio,0.1504262089961327,Gigi Martin,2014,2010,15,15_hombres_mujeres_mujer_hombre,"y vienen hasta el día de hoy y se paran frente a mí esos gallos medios cocidos, pelucones, se paran frente a mí y dice: «¿Qué tal?». Y la larga en la huevada. Y",0.0007257039128804876
105,3,0.5492776093678406,14,14_ho_ho ho_aplauso_muchas,0.3152244806626598,6.0,6_quinta_vergara_público_quinta vergara,0.132180691297662,Edmundo Arrocet,1978,1970,14,14_ho_ho ho_aplauso_muchas,Ese es el maravilloso aplauso de la Quinta Vergara para un jugador como es Gigote Arrozet. ¡Más grande el aplauso para que vuelva!,0.1830437893649978
810,3,0.4567053055626974,22,22_verdad_agradecer_emocionado_quiero agradecer,0.2422766174979647,14.0,14_ho_ho ho_aplauso_muchas,0.1304618135896193,Los Indolatinos,1999,1990,22,22_verdad_agradecer_emocionado_quiero agradecer,"Ah. Venga, venga. Lo querido. Gracias, ustedes muy amables, muy gentiles, muy cariñosos, muy muy caluroso. Oye, que estamos abrazando aplauso. Demuénele un gran",0.11181480390834539
1352,3,0.346463050132208,27,27_soltera_bebé_arturo vidal_tinder,0.1321066335735014,23.0,23_amante_marido_mujer_matrimonio,0.1290792143950896,Paulo Iglesias,2005,2000,15,15_hombres_mujeres_mujer_hombre,"Gracias. Yo creo que lo más importante Yo creo Yo creo que lo más importante es mantener la salud mental a hecho la casa, compadre. Lo más importante es evitar ",0.0030274191784117888
1237,3,0.3696078658708782,27,27_soltera_bebé_arturo vidal_tinder,0.1391991518370249,15.0,15_hombres_mujeres_mujer_hombre,0.1239999396532956,Natalia Cuevas,2004,2000,15,15_hombres_mujeres_mujer_hombre,"En realidad es un tema que a mí me gusta tocar porque a mí me gusta ser bien directa. ¿No es cierto? ¿Y yo? Sí, ¿se escucha bien? Sí, ya. El texto para la mujer",0.015199212183729285
2324,3,0.3920073271330681,14,14_ho_ho ho_aplauso_muchas,0.1823524134415259,22.0,22_verdad_agradecer_emocionado_quiero agradecer,0.1238979908590926,Gigi Martin,2014,2010,14,14_ho_ho ho_aplauso_muchas,"Bueno, estoy feliz, esto está saliendo afuera, ya pasó todo. Estoy feliz y le agradezco a la gente que está escuchando afuera, a la galería, a la platea, a la t",0.05845442258243329
771,3,0.3822680905529618,22,22_verdad_agradecer_emocionado_quiero agradecer,0.1756684405020764,21.0,21_buenas noches_noches_buenas_pecadora,0.1224684023820453,Dino Gordillo,1998,1990,21,21_buenas noches_noches_buenas_pecadora,"...Gordillo. Muchísimas gracias, muy buenas noches. ¿Cómo están? ¿Todos bien? Eso, arriba me gusta, arriba del cerro lo mío ahí. Esa es la papa. Estoy mandando.",0.05320003812003109
224,3,0.3479788853760745,13,13_ay ay_salta salta_salta_ay,0.1412904352191657,29.0,29_reggaeton_calmado_dale_ten,0.1210806822738446,Pujillay,1990,1990,13,13_ay ay_salta salta_salta_ay,"El costillar es mío, me lo quieren quitar con Catalina Telias y tu gar tu gar salir a buscar con el grupo penitenciaría. Bueno, vamos a así entregarles con much",0.02020975294532111
470,3,0.3362291402137938,23,23_amante_marido_mujer_matrimonio,0.1197210485884068,15.0,15_hombres_mujeres_mujer_hombre,0.1190811464301031,Paulo Iglesias,1995,1990,26,26_celular_pegado_teléfono_whatsapp,"Esta noche quiero hablar de todo lo que está de moda. O sea, lo que está in. Todo lo que está... todo lo que está in, in, in, in. La ecología, por ejemplo, está",0.0006399021583037012
3447,3,0.4326506245284119,15,15_hombres_mujeres_mujer_hombre,0.2192150674933447,27.0,27_soltera_bebé_arturo vidal_tinder,0.1177522759708468,Jani Dueñas,2019,2010,15,15_hombres_mujeres_mujer_hombre,"No sean así. Yo cuando chica les cuento ¿Sabés qué? ¿Sabés qué? Les puedo contar igual. Les voy a contar igual. Yo cuando chica quería ser hombre. En serio, pri",0.10146279152249792
1976,3,0.5648019476941204,14,14_ho_ho ho_aplauso_muchas,0.3563465364311687,6.0,6_quinta_vergara_público_quinta vergara,0.1177075481128892,Zip-Zup,2012,2010,14,14_ho_ho ho_aplauso_muchas,"Que Dios le bendiga. Felicidades. Saludos, coronel. Chao, chao. El humor nuevamente triunfa aquí en la Quinta Vergara. Esta noche fue Zip Zup por primera vez en",0.2386389883182795
