segment_row_idx,n_topics_above_threshold,probability_mass_above_threshold,top1_topic_id,top1_topic_name,top1_p_topic,top2_topic_id,top2_topic_name,top2_p_topic,show,year,decade,topic_final,topic_name_final,text_preview,topic_prob_gap_top1_top2
2951,2,0.3267499083744604,23,23_amante_marido_mujer_matrimonio,0.164920366651915,15.0,15_hombres_mujeres_mujer_hombre,0.1618295417225454,"Daniela ""Chiqui"" Aguayo",2017,2010,15,15_hombres_mujeres_mujer_hombre,"Algo bastante más importante. Yo digo, ¿por qué los baños de mujeres no pueden pegar una advertencia en el espejo? Que diga, si usted se va usted va a beber, no",0.003090824929369601
3090,2,0.3455389011668708,6,6_quinta_vergara_público_quinta vergara,0.1841372841642729,14.0,14_ho_ho ho_aplauso_muchas,0.1614016170025979,Rodrigo Villegas,2017,2010,6,6_quinta_vergara_público_quinta vergara,"Gracias y muchas gracias, señoras y señores, porque eran Gracias por defenderme en la galería, de verdad. Gracias. Pero el público te sigue entregando cariño, R",0.02273566716167502
1268,2,0.384104463805035,14,14_ho_ho ho_aplauso_muchas,0.2231321262192057,22.0,22_verdad_agradecer_emocionado_quiero agradecer,0.1609723375858293,Los Indolatinos,2004,2000,14,14_ho_ho ho_aplauso_muchas,"una vez más. Muchas gracias. Ahora, dice. Dice: de un lado, otro lado, para adelante y para atrás, de cuneta a cuneta me voy. Borrachón soy. ¡Salud! Y el coro. ",0.0621597886333764
2848,2,0.4302723426778187,14,14_ho_ho ho_aplauso_muchas,0.2741670538942959,22.0,22_verdad_agradecer_emocionado_quiero agradecer,0.1561052887835228,Ricardo Meruane,2016,2010,14,14_ho_ho ho_aplauso_muchas,"Aquí, en tu presentación ha habido coraje, ha habido valentía; no significa no tener miedo, sino que seguiste actuando, fuiste un gladiador pese a la adversidad",0.1180617651107731
1508,2,0.4343698621551433,14,14_ho_ho ho_aplauso_muchas,0.2784854442340106,22.0,22_verdad_agradecer_emocionado_quiero agradecer,0.1558844179211327,Coco Legrand,2006,2000,14,14_ho_ho ho_aplauso_muchas,"Me voy con el cariño de ustedes que es lo que me ha estimulado siempre. Muchísimas gracias. Grande Coco, te queremos. Gracias. Bueno, algo más le vamos a decir.",0.12260102631287792
3252,2,0.3104637695255079,23,23_amante_marido_mujer_matrimonio,0.1559601704975108,15.0,15_hombres_mujeres_mujer_hombre,0.1545035990279971,Jenny Cavallo,2018,2010,15,15_hombres_mujeres_mujer_hombre,"Una dice eso siempre, porque en general no existe la mujer que diga como: «Está muy bien, mi amor, está muy bien lo que hiciste, porque si no hubieras hecho eso",0.0014565714695136955
287,2,0.40639095695874394,14,14_ho_ho ho_aplauso_muchas,0.2526053092197541,22.0,22_verdad_agradecer_emocionado_quiero agradecer,0.1537856477389898,Hermógenes Conache,1991,1990,14,14_ho_ho ho_aplauso_muchas,"Muy sé que tengo amigos. Voy a invitar a Sandro mejor. Amigos. Oh, oh, oh. Nunca pude controlar la izquierda, señores. Buenas noches, muchas gracias. Un placer.",0.09881966148076429
2302,2,0.3015781219051459,15,15_hombres_mujeres_mujer_hombre,0.1511519129090132,23.0,23_amante_marido_mujer_matrimonio,0.1504262089961327,Gigi Martin,2014,2010,15,15_hombres_mujeres_mujer_hombre,"y vienen hasta el día de hoy y se paran frente a mí esos gallos medios cocidos, pelucones, se paran frente a mí y dice: «¿Qué tal?». Y la larga en la huevada. Y",0.0007257039128804876
2866,2,0.3416336853844158,23,23_amante_marido_mujer_matrimonio,0.1967031762631294,15.0,15_hombres_mujeres_mujer_hombre,0.1449305091212864,Juan Pablo López,2017,2010,5,5_colegio_niños_papá_hijo,"sin ni uno, pero con reparación profunda el huevón, ¿eh? No, sin putas partidas. Porque la mujer puede ganar menos que el hombre, incluso por la misma pega. Per",0.051772667141842976
2446,2,0.3227896317156481,15,15_hombres_mujeres_mujer_hombre,0.181835935262709,23.0,23_amante_marido_mujer_matrimonio,0.1409536964529391,Centella,2015,2010,15,15_hombres_mujeres_mujer_hombre,"que yo hoy día quiero mostrar lo contrario. Y es cierto que las chiquillas van a acompañar. Ella me dice una Eh, yo voy a ir al baño. Uy, yo también. Espérame, ",0.040882238809769905
