routine_id,show_id,event_name,show_name,start_timestamp,text,video_id
160,57,Festival Internacional de la Canción de Viña del Mar 2015,Arturo Ruiz-Tagle,00:00:41,"Acá es saber con quién calmar a este señor, porque hay mujeres más grandes. También me gustan las mujeres más grandes porque tienen más temas de conversación. Una vez tuve una polola mayor que yo, tenía 8 años y ella era bien grande. Venía acá para que jugáramos a los doctores. Jugamos a los doctores y yo quedé enfermo después.",6VfUZr0xoy8
160,57,Festival Internacional de la Canción de Viña del Mar 2015,Arturo Ruiz-Tagle,00:01:08,"Es súper rico, me dejó con los caballos, los otros ya jugaban a estar casados pero con separación de bienes. Sí, porque la última vez se llevó todos mis juguetes. Y le dije: 'Ven, abrázame'. Nos besábamos, incluso a veces con lengua... Las lenguas son como la especulación. Y le dije: 'Bailemos', puse una música romántica, un lento.",6VfUZr0xoy8
160,57,Festival Internacional de la Canción de Viña del Mar 2015,Arturo Ruiz-Tagle,00:01:34,Y ella dijo: 'Abrázame'. Yo aproveché el momento romántico... Estuvimos jugando un buen rato. Luego ella dijo: 'Sácate la ropita'... Y yo quedé en pelota. Me puse nervioso porque se empezaron a notar mis sentimientos.,6VfUZr0xoy8
160,57,Festival Internacional de la Canción de Viña del Mar 2015,Arturo Ruiz-Tagle,00:02:15,"Me dijo: 'No importa'. Buenas noches, gracias por su aplauso espontáneo... Aplaudan por favor... Parece que son más fuertes sus aplausos cuando les pido... Muchas gracias. El artista vive del aplauso; lástima que no sirve para pagar las cuentas del gas ni al cajero automático.",6VfUZr0xoy8
160,57,Festival Internacional de la Canción de Viña del Mar 2015,Arturo Ruiz-Tagle,00:02:47,"Esta noche vamos a hablar de sexo, política, religión...",6VfUZr0xoy8
160,57,Festival Internacional de la Canción de Viña del Mar 2015,Arturo Ruiz-Tagle,00:02:53,"'Y de crisis'. Yo he estudiado esto; lo que es una crisis. Crisis viene del griego 'crisis', ¿qué significa? ¡Crisis! Me estuve preparando durante mucho tiempo para esto; incluso estoy más flaco. El doctor me dijo: 'Usted para estar en Viña debe comer seis manzanas diarias...' Rojas o verdes... Corriendo.",6VfUZr0xoy8
160,57,Festival Internacional de la Canción de Viña del Mar 2015,Arturo Ruiz-Tagle,00:03:25,"'Vamos hablar sobre sexo, política, religión...' Partamos por el sexo; siempre cae bien hablar sobre eso. Porque si hablo sobre política puedo tener una posición distinta a ustedes; les puedo caer mal. En cambio hablando sobre sexo debo caerles bien por novedad.",6VfUZr0xoy8
160,57,Festival Internacional de la Canción de Viña del Mar 2015,Arturo Ruiz-Tagle,00:04:08,"Pero bueno, soy de los que piensan que para hacer el amor hay que usar profilácticos, ya sea condón o preservativo. Yo sé que algunos dicen: 'Con ella nunca'. Pero nunca se debe basar el amor solo en eso. Y luego tienes que ir a comprar más preservativos; es parte del sistema capitalista.",6VfUZr0xoy8
160,57,Festival Internacional de la Canción de Viña del Mar 2015,Arturo Ruiz-Tagle,00:04:26,"Usar condones todos los días sale caro, hablando desde mi perspectiva. Sé que tengo fama de vago porque he protagonizado varias infidelidades. Quizás algunos ni me reconocen vestido.",6VfUZr0xoy8
160,57,Festival Internacional de la Canción de Viña del Mar 2015,Arturo Ruiz-Tagle,00:07:16,"Ellos son los creadores de las grandes crisis en el mundo: el Hizbollah, el Ébola y en Chile, el De Olave. O la luz de la vuelta al auto. Y ahora la parte del De Ola, ahora está alta... van los problemas.",6VfUZr0xoy8
